ROAD TRIP CSV ",."
Version,Language
1500,en


FUEL RECORDS
Odometer (mi),Trip Distance,Date,Fill Amount,Fill Units,Price per Unit,Total Price,Partial Fill,MPG,Note,Octane,Location,Payment,Conditions,Reset,Categories,Flags,Currency Code,Currency Rate,Latitude,Longitude,ID,Trip Comp Fuel Economy,Trip Comp Avg. Speed,Trip Comp Temperature,Trip Comp Drive Time,Tank Number
231520,,"2016-12-11 11:21",11.2,Gal,2.8777,32.23,,,,,,,,Reset,,9,,1,,,1,,,,,0
231729,209,"2016-12-16",10.7,Gal,2.8963,30.99,,19.5327,,,,,,,,0,,1,,,2,,,,,0
231932,203,"2016-12-27 11:16",11.2,Gal,3.0893,34.6,,18.125,,,,,,,,0,,1,32.836524,-117.152631,4,,,,,0
232141,209,"2016-12-31 19:49",10.9,Gal,3.1872,34.74,,19.1743,,,,,,,,0,,1,32.838751,-117.278172,6,,,,,0
232336,195,"2017-1-8 17:20",10.1,Gal,3.2139,32.46,,19.3069,,,,,,,,0,,1,32.832988,-117.163933,8,,,,,0
232526,190,"2017-1-20 22:19",10,Gal,3.202,32.02,,19,,,,,,,,0,,1,32.937711,-117.112836,10,,,,,0
232743,217,"2017-1-27 7:55",11.2,Gal,3.1946,35.78,,19.375,,,,,,,,0,,1,32.937623,-117.112793,12,,,,,0
232955,212,"2017-2-3 18:41",10.8,Gal,3.259,35.2,,19.6296,,,,,,,,0,,1,32.833024,-117.163869,14,,,,,0
233154,199,"2017-2-7 17:51",10.598,Gal,3.1591,33.48,,18.7771,,,,,,,,0,,1,32.838851,-117.278063,16,,,,,0
233354,200,"2017-2-14 14:23",10.158,Gal,3.3392,33.92,,19.6889,,,,,,,,0,,1,32.820438,-117.178616,18,,,,,0
233545,191,"2017-2-18 21:52",10.057,Gal,3.3191,33.38,,18.9917,,,,,,,,0,,1,32.83873,-117.278044,20,,,,,0
233761,216,"2017-3-9 12:18",11.148,Gal,3.3791,37.67,,19.3757,,,,,,,,0,,1,32.838919,-117.27794,22,,,,,0
233958,197,"2017-3-14 16:11",10.305,Gal,3.2887,33.89,,19.1169,,,,,,,,0,,1,32.977366,-117.083097,24,,,,,0
234176,218,"2017-3-20 10:43",11.325,Gal,3.2989,37.36,,19.2494,,,,,,,,0,,1,32.836537,-117.152774,26,,,,,0
234355,179,"2017-3-24 10:33",8.838,Gal,3.1987,28.27,,20.2535,,,,,,,,0,,1,32.934331,-117.060451,28,,,,,0
234560,205,"2017-3-26 16:35",10.221,Gal,3.1993,32.7,,20.0567,,,,,,,,0,,1,32.937578,-117.112779,30,,,,,0
234779,219,"2017-3-31 13:05",11.091,Gal,3.3189,36.81,,19.7457,,,,,,,,0,,1,32.977132,-117.083235,32,,,,,0
234976,197,"2017-4-8 22:32",9.874,Gal,3.2591,32.18,,19.9514,,,,,,,,0,,1,32.937627,-117.112809,34,,,,,0
235201,225,"2017-4-11 13:02",10.851,Gal,3.3389,36.23,,20.7354,,,,,,,,0,,1,32.820608,-117.178907,36,,,,,0
235442,241,"2017-4-13 22:01",11.677,Gal,3.4589,40.39,,20.6389,,,,,,,,0,,1,33.133618,-117.059495,38,,,,,0
235657,215,"2017-4-15 16:23",10.44,Gal,3.2395,33.82,,20.5939,,,,,,,,0,,1,32.799282,-117.241147,40,,,,,0
235862,205,"2017-4-24 11:55",10.929,Gal,3.1787,34.74,,18.7574,,,,,,,,0,,1,32.977109,-117.083333,42,,,,,0
236069,207,"2017-4-29 10:33",10.014,Gal,3.3194,33.24,,20.6711,,,,,,,,0,,1,33.018232,-117.075098,44,,,,,0
236280,211,"2017-5-1 12:05",10.6,Gal,3.6991,39.21,,19.9057,,,,,,,,0,,1,33.122602,-117.319741,46,,,,,0
236503,223,"2017-5-4 7:38",10.018,Gal,3.5985,36.05,,22.2599,,,,,,,,0,,1,32.978946,-117.250149,48,,,,,0
236731,228,"2017-5-8 17:07",10.77,Gal,3.2591,35.1,,21.1699,,,,,,,,0,,1,33.145769,-117.241766,50,,,,,0
236945,214,"2017-5-11 19:34",9.709,Gal,3.3186,32.22,,22.0414,,,,,,,,0,,1,32.838856,-117.277942,52,,,,,0
237176,231,"2017-5-15 7:48",10.59,Gal,3.3192,35.15,,21.813,,,,,,,,0,,1,33.145927,-117.241801,54,,,,,0
237397,221,"2017-5-18 20:43",9.991,Gal,3.339,33.36,,22.1199,,,,,,,,0,,1,32.820539,-117.17866,56,,,,,0
237599,202,"2017-5-22 21:44",9.201,Gal,3.4192,31.46,,21.9541,,,,,,,,0,,1,32.838752,-117.278107,58,,,,,0
237798,199,"2017-5-26 21:06",8.989,Gal,3.3986,30.55,,22.1382,,,,,,,,0,,1,33.084568,-117.29973,60,,,,,0
238003,205,"2017-5-30 19:53",9.675,Gal,3.3995,32.89,,21.1886,,,,,,,,0,,1,33.084516,-117.299711,62,,,,,0
238218,215,"2017-6-3 14:47",9.9,Gal,3.4788,34.44,,21.7172,,,,,,,,0,,1,32.878442,-117.173122,64,,,,,0
238440,222,"2017-6-7 8:34",10.244,Gal,3.2936,33.74,,21.6712,,,,,,,,0,,1,33.026299,-117.273343,66,,,,,0
238662,222,"2017-6-11 15:35",10.221,Gal,3.259,33.31,,21.72,,,,,,,,0,,1,32.977115,-117.08327,68,,,,,0
238896,234,"2017-6-16 17:23",10.606,Gal,3.3132,35.14,,22.063,,,,,,,,0,,1,33.084472,-117.299753,70,,,,,0
239112,216,"2017-6-22 16:53",10.415,Gal,3.3193,34.57,,20.7393,,,,,,,,0,,1,33.084449,-117.299666,72,,,,,0
239333,221,"2017-6-27 18:38",10.18,Gal,3.1395,31.96,,21.7092,,,,,,,,0,,1,33.162295,-117.344426,74,,,,,0
239541,208,"2017-7-1 18:53",9.547,Gal,3.0994,29.59,,21.7869,,,,,,,,0,,1,32.79941,-117.241095,76,,,,,0
239769,228,"2017-7-6 8:12",10.319,Gal,3.199,33.01,,22.0952,,,,,,,,0,,1,33.08442,-117.299935,78,,,,,0
239985,216,"2017-7-11 7:58",10.17,Gal,3.1986,32.53,,21.2389,,,,,,,,0,,1,33.084473,-117.299923,80,,,,,0
240212,227,"2017-7-16 11:17",10.549,Gal,3.1188,32.9,,21.5186,,,,,,,,0,,1,32.836555,-117.152781,82,,,,,0
240435,223,"2017-7-21 19:34",10.245,Gal,3.0991,31.75,,21.7667,,,,,,,,0,,1,32.808573,-117.116702,84,,,,,0
240665,230,"2017-7-25 18:27",10.281,Gal,3.1991,32.89,,22.3714,,,,,,,,0,,1,33.145633,-117.241694,86,,,,,0
240884,219,"2017-7-29 11:57",9.818,Gal,3.299,32.39,,22.306,,,,,,,,0,,1,32.838791,-117.2782,88,,,,,0
241111,227,"2017-8-2 17:59",10.257,Gal,3.0993,31.79,,22.1312,,,,,,,,0,,1,33.145929,-117.241896,90,,,,,0
241357,246,"2017-8-4 19:59",11.473,Gal,3.1988,36.7,,21.4416,,,,,,,,0,,1,33.122066,-117.32455,93,,,,,0
241562,205,"2017-8-7 22:07",9.377,Gal,3.2985,30.93,,21.862,,,,,,,,0,,1,32.83886,-117.278089,95,,,,,0
241784,222,"2017-8-11 8:02",10.07,Gal,3.2989,33.22,,22.0457,,,,,,,,0,,1,33.026195,-117.273225,97,,,,,0
241989,205,"2017-8-15 18:10",9.542,Gal,3.3588,32.05,,21.484,,,,,,,,0,,1,33.084411,-117.299691,99,,,,,0
242211,222,"2017-8-17 20:52",10.058,Gal,3.2591,32.78,,22.072,,,,,,,,0,,1,32.977215,-117.083096,101,,,,,0
242434,223,"2017-8-21 18:25",10.386,Gal,3.3988,35.3,,21.4712,,,,,,,,0,,1,33.084534,-117.299758,103,,,,,0
242645,211,"2017-8-25 7:49",9.411,Gal,3.3588,31.61,,22.4206,,,,,,,,0,,1,33.026229,-117.273145,105,,,,,0
242853,208,"2017-8-29 8:37",9.737,Gal,3.3994,33.1,,21.3618,,,,,,,,0,,1,33.1459,-117.241965,107,,,,,0
243069,216,"2017-9-1 12:42",10.124,Gal,3.4986,35.42,,21.3354,,,,,,,,0,,1,33.145867,-117.241924,109,,,,,0
243282,213,"2017-9-2 18:06",10.052,Gal,3.4789,34.97,,21.1898,,,,,,,,0,,1,32.836601,-117.152785,111,,,,,0
243506,224,"2017-9-6 20:47",10.705,Gal,3.4591,37.03,,20.9248,,,,,,,,0,,1,32.977136,-117.083295,113,,,,,0
243718,212,"2017-9-11 8:42",9.948,Gal,3.4992,34.81,,21.3108,,,,,,,,0,,1,33.145703,-117.24183,115,,,,,0
243941,223,"2017-9-15 19:30",10.332,Gal,3.3991,35.12,,21.5834,,,,,,,,0,,1,32.836714,-117.152737,117,,,,,0
244159,218,"2017-9-19 7:34",9.962,Gal,3.4993,34.86,,21.8832,,,,,,,,0,,1,33.145817,-117.241694,119,,,,,0
244375,216,"2017-9-22 18:47",9.907,Gal,3.3391,33.08,,21.8028,,,,,,,,0,,1,32.977056,-117.083506,121,,,,,0
244589,214,"2017-9-24 16:08",10.01,Gal,3.3986,34.02,,21.3786,,,,,,,,0,,1,33.06812,-117.066296,123,,,,,0
244824,235,"2017-9-29 8:22",10.585,Gal,3.3991,35.98,,22.2012,,,,,,,,0,,1,33.026334,-117.273367,125,,,,,0
245029,205,"2017-10-2 17:50",9.445,Gal,3.3594,31.73,,21.7046,,,,,,,,0,,1,33.084416,-117.300016,127,,,,,0
245257,228,"2017-10-6 8:26",9.874,Gal,3.3563,33.14,,23.0909,,,,,,,,0,,1,33.084481,-117.299885,129,,,,,0
245491,234,"2017-10-11 8:45",10.739,Gal,3.1986,34.35,,21.7897,,,,,,,,0,,1,33.084604,-117.299898,131,,,,,0
245712,221,"2017-10-15 18:22",9.741,Gal,3.2995,32.14,,22.6876,,,,,,,,0,,1,32.937639,-117.112808,133,,,,,0
245935,223,"2017-10-19 17:40",9.713,Gal,3.2585,31.65,,22.9589,,,,,,,,0,,1,33.084516,-117.299794,135,,,,,0
246168,233,"2017-10-25 8:44",10.573,Gal,3.159,33.4,,22.0373,,,,,,,,0,,1,33.026343,-117.273354,137,,,,,0
246365,197,"2017-10-29 13:17",9.102,Gal,3.3993,30.94,,21.6436,,,,,,,,0,,1,32.833078,-117.164064,139,,,,,0
246591,226,"2017-11-2 7:45",9.785,Gal,3.5003,34.25,,23.0966,,,,,,,,0,,1,33.026293,-117.2733,141,,,,,0
246826,235,"2017-11-6 7:57",10.435,Gal,3.5994,37.56,,22.5204,,,,,,,,0,,1,33.02617,-117.273258,143,,,,,0
247027,201,"2017-11-9 18:24",9.059,Gal,3.5986,32.6,,22.1879,,,,,,,,0,,1,33.145741,-117.241825,145,,,,,0
247253,226,"2017-11-13 8:04",9.816,Gal,3.5595,34.94,,23.0236,,,,,,,,0,,1,33.026238,-117.273224,147,,,,,0
247472,219,"2017-11-16 21:14",9.696,Gal,3.4788,33.73,,22.5866,,,,,,,,0,,1,32.977098,-117.083262,149,,,,,0
247698,226,"2017-11-21 18:35",9.539,Gal,3.4993,33.38,,23.6922,,,,,,,,0,,1,33.084515,-117.29981,151,,,,,0
247916,218,"2017-11-27 18:15",9.788,Gal,3.3991,33.27,,22.2722,,,,,,,,0,,1,33.145807,-117.24194,153,,,,,0
248155,239,"2017-12-1 18:23",10.19,Gal,3.4593,35.25,,23.4544,,,,,,,,0,,1,33.084407,-117.29969,155,,,,,0
248360,205,"2017-12-3 19:55",8.814,Gal,3.3991,29.96,,23.2585,,,,,,,,0,,1,32.836621,-117.15275,157,,,,,0
248570,210,"2017-12-7 17:59",9.129,Gal,3.3991,31.03,,23.0036,,,,,,,,0,,1,33.084566,-117.299802,159,,,,,0
248780,210,"2017-12-10 23:10",9.502,Gal,3.4393,32.68,,22.1006,,,,,,,,0,,1,32.838823,-117.278102,161,,,,,0
248986,206,"2017-12-18 18:11",8.886,Gal,3.3592,29.85,,23.1825,,,,,,,,0,,1,33.084426,-117.299659,163,,,,,0
249203,217,"2017-12-31 17:04",10.541,Gal,3.3991,35.83,,20.5863,,,,,,,,0,,1,32.937643,-117.11275,165,,,,,0
249327,124,"2018-1-6 8:36",5.987,Gal,3.5794,21.43,,20.7115,,,,,,,,0,,1,32.820549,-117.178638,167,,,,,0
249477,150,"2018-1-6 14:21",7.554,Gal,3.2989,24.92,,19.857,,,,,,,,0,,1,33.278987,-115.9653,169,,,,,0
249678,201,"2018-1-8 15:36",10.102,Gal,3.5587,35.95,,19.897,,,,,,,,0,,1,33.145747,-117.241671,171,,,,,0
249903,225,"2018-1-19 8:39",10.998,Gal,3.6989,40.68,,20.4583,,,,,,,,0,,1,33.01142,-117.262996,173,,,,,0
249963,60,"2018-1-20 19:07",2.924,Gal,3.5602,10.41,,20.5198,,,,,,,,0,,1,32.832956,-117.164062,175,,,,,0
250121,158,"2018-1-21 11:07",8.687,Gal,4.2995,37.35,,18.1881,,,,,,,,0,,1,32.730715,-115.994607,177,,,,,0
250326,205,"2018-2-5 11:35",10.492,Gal,3.761,39.46,,19.5387,,,,,,,,0,,1,32.951503,-117.062076,179,,,,,0
250502,176,"2018-2-15 18:58",8.881,Gal,3.6989,32.85,,19.8176,,,,,,,,0,,1,32.820613,-117.17842,181,,,,,0
250732,230,"2018-10-4 11:25",11.616,Gal,4.1994,48.78,,19.8003,,,,,,,,0,,1,32.833387,-117.163954,183,,,,,0
250951,219,"2018-10-13 8:34",10.761,Gal,4.1492,44.65,,20.3513,,,,,,,,0,,1,32.894316,-117.120908,185,,,,,0
251180,229,"2018-11-10 10:51",11.378,Gal,4.1589,47.32,,20.1266,,,,,,,,0,,1,37.777289,-122.40444,187,,,,,0
251340,160,"2018-11-30 20:12",7.808,Gal,4.7989,37.47,,20.4918,,,,,,,,0,,1,38.591435,-121.555013,189,,,,,0
251561,221,"2018-12-2 14:41",10.917,Gal,4.0863,44.61,,20.2437,,,,,,,,0,,1,38.923172,-121.056583,191,,,,,0
251781,220,"2018-12-9 9:16",10.345,Gal,3.9594,40.96,,21.2663,,,,,,,,0,,1,37.777143,-122.404415,193,,,,,0
251998,217,"2019-1-8 7:53",10.411,Gal,3.8988,40.59,,20.8433,,,,,,,,0,,1,37.777507,-122.404362,195,,,,,0
252239,241,"2019-1-16 17:15",11.218,Gal,4.1986,47.1,,21.4833,,,,,,,,0,,1,37.647976,-122.406141,197,,,,,0
252440,201,"2019-2-8 7:23",10.37,Gal,3.8987,40.43,,19.3828,,,,,,,,0,,1,37.777438,-122.404521,199,,,,,0
252570,130,"2019-2-8 21:33",6.051,Gal,3.3697,20.39,,21.4841,,,,,,,,0,,1,38.574729,-121.523876,201,,,,,0
252752,182,"2019-2-10 17:59",10.142,Gal,3.379,34.27,,17.9452,,,,,,,,0,,1,38.658306,-120.969734,203,,,,,0
252981,229,"2019-2-16 22:46",11.061,Gal,3.6986,40.91,,20.7034,,,,,,,,0,,1,37.352417,-122.051422,205,,,,,0
253109,128,"2019-2-17 5:42",6.725,Gal,4.3985,29.58,,19.0335,,,,,,,,0,,1,38.591431,-121.555135,207,,,,,0
253329,220,"2019-2-17 19:35",10.444,Gal,3.379,35.29,,21.0647,,,,,,,,0,,1,38.658593,-120.969516,209,,,,,0
253499,170,"2019-3-2 4:19",8.485,Gal,3.8986,33.08,,20.0354,,,,,,,,0,,1,37.77741,-122.404593,211,,,,,0
253583,84,"2019-3-2 6:00",4.474,Gal,4.3987,19.68,,18.7751,,,,,,,,0,,1,38.591525,-121.554919,213,,,,,0
253723,140,"2019-3-9 4:58",8.041,Gal,3.8988,31.35,,17.4108,,,,,,,,0,,1,37.777288,-122.404697,215,,,,,0
253841,118,"2019-3-9 6:41",6.395,Gal,3.5794,22.89,,18.4519,,,,,,,,0,,1,38.658447,-120.969403,217,,,,,0
254024,183,"2019-3-9 19:34",8.16,Gal,3.5809,29.22,,22.4265,,,,,,,,0,,1,38.658487,-120.969618,219,,,,,0
254162,138,"2019-3-15 13:06",7.233,Gal,3.8988,28.2,,19.0792,,,,,,,,0,,1,37.777246,-122.404422,221,,,,,0
254234,72,"2019-3-15 16:04",2.774,Gal,3.5977,9.98,,25.9553,,,,,,,,0,,1,38.489856,-121.804623,223,,,,,0
254481,247,"2019-3-17 17:13",10.898,Gal,3.5988,39.22,,22.6647,,,,,,,,0,,1,38.658489,-120.969454,225,,,,,0
254724,243,"2019-3-20 12:20",10.614,Gal,3.8986,41.38,,22.8943,,,,,,,,0,,1,37.421463,-121.921567,227,,,,,0
254941,217,"2019-3-25 10:37",11.0118,Gal,3.9612,43.62,,19.7061,,,,,,,,0,,1,37.789466,-122.421788,229,,,,,0
255183,242,"2019-4-4 8:58",11.197,Gal,3.9993,44.78,,21.6129,,,,,,,,0,,1,37.790583,-122.422677,231,,,,,0
255397,214,"2019-4-9 23:05",10.358,Gal,4.2991,44.53,,20.6604,,,,,,,,0,,1,37.929766,-122.516285,233,,,,,0
255570,173,"2019-4-25 8:36",8.571,Gal,4.4989,38.56,,20.1843,,,,,,,,0,,1,37.777245,-122.404551,235,,,,,0
255777,207,"2019-4-28 12:06",9.826,Gal,4.4993,44.21,,21.0666,,,,,,,,0,,1,37.789424,-122.422555,237,,,,,0
255941,164,"2019-5-11 5:55",7.884,Gal,4.5992,36.26,,20.8016,,,,,,,,0,,1,37.777389,-122.404488,239,,,,,0
256025,84,"2019-5-11 7:13",4.18,Gal,5.1986,21.73,,20.0957,,,,,,,,0,,1,38.591456,-121.555003,241,,,,,0
256216,191,"2019-5-11 16:14",9.18,Gal,4.4989,41.3,,20.8061,,,,,,,,0,,1,38.923247,-121.056664,244,,,,,0
256432,216,"2019-5-28 9:40",11.019,Gal,4.3988,48.47,,19.6025,,,,,,,,0,,1,37.777221,-122.404482,246,,,,,0
256664,232,"2019-6-8 16:14",10.54,Gal,4.4592,47,,22.0114,,,,,,,,0,,1,38.068973,-122.806609,248,,,,,0
256870,206,"2019-6-28 8:46",10.557,Gal,4.1394,43.7,,19.5131,,,,,,,,0,,1,37.777417,-122.404521,250,,,,,0
257101,231,"2019-7-12 19:15",11.313,Gal,4.1413,46.85,,20.419,,,,,,,,0,,1,37.77739,-122.404568,252,,,,,0
257299,198,"2019-7-28 7:29",9.987,Gal,4.0993,40.94,,19.8258,,,,,,,,0,,1,37.77743,-122.404463,254,,,,,0
257517,218,"2019-8-12 9:02",9.742,Gal,3.9386,38.37,,22.3773,,,,,,,,0,,1,37.789538,-122.422703,256,,,,,0
257724,207,"2019-8-17 11:33",10.193,Gal,4.0989,41.78,,20.3081,,,,,,,,0,,1,37.151951,-121.655501,258,,,,,0
257936,212,"2019-8-20 7:53",10.224,Gal,4.0989,41.91,,20.7355,,,,,,,,0,,1,37.773219,-122.445473,260,,,,,0
258145,209,"2019-9-21 11:06",10.776,Gal,4.2994,46.33,,19.395,,,,,,,,0,,1,37.777268,-122.404628,262,,,,,0
258360,215,"2019-10-9 19:29",11.082,Gal,4.3593,48.31,,19.4008,,,,,,,,0,,1,37.666692,-122.452577,264,,,,,0
258599,239,"2019-10-24 8:26",11.504,Gal,4.5993,52.91,,20.7754,,,,,,,,0,,1,37.777362,-122.404604,266,,,,,0
258805,206,"2019-11-11 8:25",9.909,Gal,4.4394,43.99,,20.7892,,,,,,,,0,,1,37.777368,-122.404636,268,,,,,0
259014,209,"2019-11-20 18:41",10.704,Gal,4.2386,45.37,,19.5254,,,,,,,,0,,1,37.716887,-122.441144,270,,,,,0
259186,172,"2019-12-5 4:33",8.827,Gal,4.0387,35.65,,19.4857,,,,,,,,0,,1,37.777203,-122.40435,272,,,,,0
259270,84,"2019-12-5 5:52",4.1,Gal,5.4,22.14,,20.4878,,,,,,,,0,,1,38.591473,-121.555056,274,,,,,0
259462,192,"2019-12-5 15:46",9.014,Gal,3.9993,36.05,,21.3002,,,,,,,,0,,1,38.923031,-121.056634,276,,,,,0
259674,212,"2019-12-6 15:46",9.522,Gal,4.0989,39.03,,22.2642,,,,,,,,0,,1,36.972267,-122.035602,278,,,,,0
